strain	date
CY125124|A/Fujian/156/2000	2000-XX-XX
JX477156|A/Fujian/156/2000	2000-XX-XX
EU516109|A/Georgia/03/2007	2007-01-30
EU779629|A/Georgia/05/2008	2008-02-09
EU779630|A/Georgia/06/2008	2008-02-06
EU516092|A/Georgia/08/2007	2007-10-03
GQ466386|A/Georgia/08/2008	2008-01-23
HM144118|A/Gholestan/215/2006	2006-01-23
EU382986|A/Guangzhou/1561/2006	2006-XX-XX
EU382987|A/Guangzhou/1684/2006	2006-XX-XX
EU382981|A/Guangzhou/483/2006	2006-XX-XX
EU382982|A/Guangzhou/506/2006	2006-XX-XX
EU382983|A/Guangzhou/555/2006	2006-XX-XX
EU382984|A/Guangzhou/657/2006	2006-XX-XX
EU382985|A/Guangzhou/665/2006	2006-XX-XX
CY043409|A/Gunma/07G002/2008	2008-01-05
CY043417|A/Gunma/07G006/2008	2008-01-28
FJ231765|A/Hamburg/1/2005	2005-XX-XX
HM144120|A/Hamedan/117/2007	2007-11-25
HM144119|A/Hamedan/7/2005	2005-02-23
CY103972|A/HaNoi/2017/2001	2001-XX-XX
CY104686|A/HaNoi/2143/2001	2001-XX-XX
CY103980|A/HaNoi/2253/2001	2001-XX-XX
CY103988|A/HaNoi/2476/2001	2001-XX-XX
CY104694|A/HaNoi/2480/2001	2001-XX-XX
CY103996|A/HaNoi/2532/2001	2001-XX-XX
CY104004|A/HaNoi/2546/2002	2002-XX-XX
CY104012|A/HaNoi/2704/2002	2002-XX-XX
CY105198|A/HaNoi/ARI172/2003	2003-XX-XX
CY104702|A/HaNoi/ARI36/2003	2003-XX-XX
CY105222|A/HaNoi/BM857/2003	2003-XX-XX
CY105230|A/HaNoi/BM862/2003	2003-XX-XX
CY104710|A/HaNoi/BM870/2003	2003-09-19
CY104718|A/HaNoi/BM893/2003	2003-10-10
CY104020|A/HaNoi/BM898/2003	2003-10-14
CY104726|A/HaNoi/BM902/2003	2003-10-16
CY104734|A/HaNoi/BM910/2003	2003-10-27
CY104742|A/HaNoi/BM945/2003	2003-12-04
CY104028|A/HaNoi/BM949/2003	2003-12-10
CY104750|A/HaNoi/BM959/2003	2003-12-19
CY104870|A/HaNoi/BT241/2008	2008-07-29
CY104036|A/HaNoi/HN1004/2003	2003-12-17
CY104758|A/HaNoi/HN1017/2003	2003-12-22
CY104044|A/HaNoi/HN1024/2003	2003-12-24
CY104766|A/HaNoi/HN337/2003	2003-01-26
CY104774|A/HaNoi/HN603/2003	2003-07-08
CY104052|A/HaNoi/HN719/2003	2003-08-26
CY104782|A/HaNoi/HN756/2003	2003-09-12
CY104790|A/HaNoi/HN777/2003	2003-09-22
